OBS,SP500_OPEN,FTSE_OPEN,R_SP500_OPEN,R_FTSE_OPEN
8/14/1991,389.62,2589.9,0.411502047,0.608045869
8/15/1991,389.91,2610.4,0.074403811,0.788420137
8/16/1991,389.33,2612,-0.148863022,0.061274512
8/19/1991,385.58,2528.4,-0.967861887,-3.25295198
8/20/1991,376.47,2571.6,-2.391033138,1.694158167
8/21/1991,379.55,2559.1,0.814797767,-0.487263911
8/22/1991,390.59,2612.6,2.867207601,2.069025989
8/23/1991,391.33,2618.7,0.189277732,0.233211736
8/26/1991,394.17,,0.723109453,
8/27/1991,393.85,2642.6,-0.081216217,
8/28/1991,393.06,2617.3,-0.200785418,-0.962002894
8/29/1991,396.65,2636.9,0.909200778,0.746073271
8/30/1991,396.47,2637.3,-0.045390358,0.015168177
09/02/1991,,2653.9,,0.627458968
09/03/1991,395.43,2678,,0.903999104
09/04/1991,392.15,2658.6,-0.832936073,-0.727057882
09/05/1991,389.97,2662.2,-0.557460657,0.135318018
09/06/1991,389.14,2667.5,-0.213063704,0.198885556
09/09/1991,389.11,2665.4,-0.007709605,-0.078756403
9/10/1991,388.57,2646.1,-0.138874624,-0.726728229
9/11/1991,384.56,2629.3,-1.037351017,-0.636920681
9/12/1991,385.09,2635.1,0.137724962,0.220348087
9/13/1991,387.16,2652.7,0.536097108,0.665685729
9/16/1991,383.59,2617,-0.926377043,-1.354936568
9/17/1991,385.78,2611.2,0.569298495,-0.221873776
9/18/1991,385.49,2593.3,-0.075200647,-0.687868982
9/19/1991,386.94,2588.1,0.375438992,-0.20071802
9/20/1991,387.56,2598.2,0.160103327,0.389488181
9/23/1991,387.9,2596.9,0.087689893,-0.050047161
9/24/1991,385.92,2573.7,-0.511748035,-0.897387371
9/25/1991,387.72,2584.4,0.465333553,0.414882044
9/26/1991,386.87,2597,-0.219471034,0.486355998
9/27/1991,386.49,2593,-0.098272481,-0.154142612
9/30/1991,385.91,2596,-0.150181281,0.115629229
10/01/1991,387.86,2643.4,0.504026811,1.80941685
10/02/1991,389.2,2646.1,0.344890054,0.102089053
10/03/1991,388.23,2642.9,-0.249540281,-0.121005876
10/04/1991,384.47,2619.3,-0.973218501,-0.896969261
10/07/1991,381.22,2614.6,-0.848912619,-0.179598436
10/08/1991,379.5,2590.2,-0.452203947,-0.937602934
10/09/1991,380.57,2606.7,0.281553201,0.634996072
10/10/1991,376.8,2576.3,-0.995558614,-1.173079244
